time,CPI,wage,equity index dividend yield,equity price index,10 year,3 month,cpi_1,w_1,ey_1,ed_1,lt_3,st_1,st_2,st_3,st_4
1997/6/15,0.002503129,0.010503508,0.016723252,0.064188807,0.066768091,0.051923061,-0.006219744,-0.008385657,0.012970133,-0.000802281,-0.003378,-0.001714921,0.000201724,0.001311085,0.000100863
1997/9/15,0.006242197,0.017451685,0.015921077,0.062751075,0.06252296,0.05131791,0.001530608,0.006948177,-0.001437732,-0.000802175,-0.000778053,-0.000605151,-0.002320072,-0.000403427,0.000705934
1997/12/15,0.003722084,0.019301625,0.014718015,0.083727084,0.060351001,0.053738875,0.00458361,0.00184994,0.020976009,-0.001203062,-0.003950511,0.002420965,0.001815814,0.000100893,0.002017538
1998/3/15,0.001236094,0.022454987,0.013916107,0.074806623,0.056150712,0.051822198,0.00853888,0.003153362,-0.008920461,-0.000801908,-0.010617379,-0.001916677,0.000504288,-0.000100863,-0.001815784
1998/6/15,0.004938272,0.016149983,0.013715647,0.041309535,0.056090152,0.051217057,0.002434336,-0.006305004,-0.033497088,-0.00020046,-0.006432808,-0.000605141,-0.002521818,-0.000100853,-0.000706004
1998/9/15,0.004299754,0.012664567,0.015219261,-0.088654237,0.054122283,0.043758605,-0.002554694,-0.003485416,-0.129963772,0.001503614,-0.006228718,-0.007458452,-0.008063593,-0.00998027,-0.007559305
1998/12/15,0.005504587,0.012532209,0.013114306,0.182065053,0.047345582,0.044866714,-0.000582097,-0.000132358,0.27071929,-0.002104955,-0.00880513,0.001108109,-0.006350343,-0.006955484,-0.008872161
1999/3/15,0.00243309,0.010063621,0.012513025,0.051800422,0.050097705,0.045168961,-0.002449404,-0.002468588,-0.130264631,-0.000601281,-0.005992447,0.000302247,0.001410356,-0.006048096,-0.006653237
1999/6/15,0.007281553,0.00989973,0.012112205,0.047000388,0.056382864,0.047990656,-0.002212475,-0.000163891,-0.004800034,-0.00040082,0.002260581,0.002821695,0.003123942,0.004232051,-0.003226401
1999/9/15,0.010843373,0.014414233,0.011911805,0.028440962,0.060229799,0.048797096,0.002502428,0.004514503,-0.018559426,-0.0002004,0.012884217,0.00080644,0.003628135,0.003930382,0.005038491
1999/12/15,0.005959476,0.027723264,0.011410833,0.050072498,0.061219692,0.052427399,0.016312431,0.013309031,0.021631536,-0.000500972,0.011121987,0.003630303,0.004436743,0.007258438,0.007560685
2000/3/15,0.013033175,0.027845592,0.011511024,-0.013257305,0.064806878,0.059088591,0.016334568,0.000122328,-0.063329803,0.000100191,0.008424014,0.006661192,0.010291495,0.011097935,0.01391963
2000/6/15,0.007017544,0.013510336,0.011010086,0.050478904,0.063967994,0.058987609,0.00250025,-0.014335256,0.063736209,-0.000500938,0.003738195,-0.000100982,0.00656021,0.010190513,0.010996953
2000/9/15,0.008130081,0.016659899,0.01050919,0.049668349,0.057483182,0.062421922,0.006150709,0.003149563,-0.000810555,-0.000500896,-0.00373651,0.003434313,0.003333331,0.009994523,0.013624826
2000/12/15,0.005760369,0.006812658,0.012212408,-0.135155217,0.056796722,0.059189574,-0.00539975,-0.009847241,-0.184823566,0.001703218,-0.008010156,-0.003232348,0.000201965,0.000100983,0.006762175
2001/3/15,0.008591065,0.019755633,0.012513025,-0.056263923,0.049684303,0.04305355,0.007242608,0.012942975,0.078891294,0.000300617,-0.014283691,-0.016136024,-0.019368372,-0.015934059,-0.016035041
2001/6/15,0.009085747,0.000466817,0.012412818,0.015661884,0.051650735,0.036309313,-0.011946001,-0.019288816,0.071925807,-0.000100207,-0.005832447,-0.006744237,-0.022880261,-0.026112609,-0.022678296
2001/9/15,0.002250985,-0.002488529,0.013815876,-0.100811473,0.049512901,0.023746838,-0.016304405,-0.002955346,-0.116473357,0.001403058,-0.007283821,-0.012562475,-0.019306712,-0.035442736,-0.038675084
